  0.45035E-03  0.59098E+02  0.45025E-03  0.59125E+02  0.82786E-03  0.78772E+02  0.82752E-03  0.78837E+02 -0.68001E-03  0.42768E-07 -0.68024E-03  0.42739E-07     17 -0.29579E-04  0.59125E+02 -0.32274E-04  0.78837E+02 -0.20426E-04  0.42739E-07  0.37007E+01 -0.21512E-02
  0.47685E-03  0.62574E+02  0.47674E-03  0.62604E+02  0.87658E-03  0.83403E+02  0.87620E-03  0.83476E+02 -0.72000E-03  0.42707E-07 -0.72026E-03  0.42676E-07     18 -0.31328E-04  0.62604E+02 -0.34188E-04  0.83476E+02 -0.21615E-04  0.42676E-07  0.10425E+00 -0.24131E-02
  0.50335E-03  0.66049E+02  0.50322E-03  0.66083E+02  0.92530E-03  0.88033E+02  0.92487E-03  0.88115E+02 -0.75998E-03  0.42811E-07 -0.76027E-03  0.42779E-07     19 -0.33078E-04  0.66083E+02 -0.36104E-04  0.88115E+02 -0.22803E-04  0.42779E-07  0.37171E+01 -0.26900E-02
  0.52911E-03  0.69431E+02  0.52897E-03  0.69468E+02  0.97323E-03  0.92538E+02  0.97276E-03  0.92629E+02 -0.79950E-03  0.42721E-07 -0.79982E-03  0.42687E-07     20 -0.34805E-04  0.69468E+02 -0.37445E-04  0.92629E+02 -0.24577E-04  0.42687E-07  0.10188E+00 -0.29283E-02
  0.54650E-03  0.71673E+02  0.54635E-03  0.71712E+02  0.10107E-02  0.95525E+02  0.10102E-02  0.95621E+02 -0.83250E-03  0.43162E-07 -0.83284E-03  0.43126E-07     21 -0.35633E-04  0.71712E+02 -0.32637E-04  0.95621E+02 -0.32555E-04  0.43126E-07  0.24747E+01 -0.25342E-02
  0.56805E-03  0.74465E+02  0.56789E-03  0.74508E+02  0.10549E-02  0.99245E+02  0.10544E-02  0.99350E+02 -0.87061E-03  0.42197E-07 -0.87099E-03  0.42160E-07     22 -0.36777E-04  0.74508E+02 -0.29120E-04  0.99350E+02 -0.39500E-04  0.42160E-07  0.12737E+00 -0.22749E-02
  0.58126E-03  0.76138E+02  0.58109E-03  0.76182E+02  0.10934E-02  0.10147E+03  0.10928E-02  0.10158E+03 -0.90721E-03  0.42144E-07 -0.90762E-03  0.42105E-07     23 -0.37162E-04  0.76182E+02 -0.15078E-04  0.10158E+03 -0.57435E-04  0.42105E-07  0.14880E+01 -0.89316E-03
  0.60333E-03  0.79030E+02  0.60315E-03  0.79078E+02  0.11385E-02  0.10533E+03  0.11379E-02  0.10544E+03 -0.94540E-03  0.41659E-07 -0.94585E-03  0.41619E-07     24 -0.38609E-04  0.79078E+02 -0.12120E-04  0.10544E+03 -0.63347E-04  0.41619E-07  0.22098E+00 -0.69934E-03
  0.61691E-03  0.80781E+02  0.61672E-03  0.80831E+02  0.11789E-02  0.10766E+03  0.11782E-02  0.10778E+03 -0.98337E-03  0.41662E-07 -0.98385E-03  0.41621E-07     25 -0.39256E-04  0.80831E+02  0.27488E-05  0.10778E+03 -0.81786E-04  0.41621E-07  0.90422E+00  0.83418E-03
  0.63416E-03  0.83013E+02  0.63395E-03  0.83066E+02  0.12216E-02  0.11063E+03  0.12209E-02  0.11076E+03 -0.10218E-02  0.41673E-07 -0.10223E-02  0.41630E-07     26 -0.40157E-04  0.83066E+02  0.12868E-04  0.11076E+03 -0.95276E-04  0.41630E-07  0.28277E+00  0.18661E-02
  0.64659E-03  0.84571E+02  0.64638E-03  0.84626E+02  0.12617E-02  0.11270E+03  0.12609E-02  0.11285E+03 -0.10602E-02  0.41629E-07 -0.10607E-02  0.41585E-07     27 -0.40385E-04  0.84626E+02  0.30218E-04  0.11285E+03 -0.11632E-03  0.41585E-07  0.63354E+00  0.37868E-02
  0.66094E-03  0.86288E+02  0.66072E-03  0.86345E+02  0.13035E-02  0.11499E+03  0.13027E-02  0.11514E+03 -0.11006E-02  0.41366E-07 -0.11012E-02  0.41321E-07     28 -0.39992E-04  0.86345E+02  0.46963E-04  0.11514E+03 -0.13756E-03  0.41321E-07  0.31259E+00  0.57293E-02
  0.67412E-03  0.87700E+02  0.67389E-03  0.87760E+02  0.13436E-02  0.11687E+03  0.13427E-02  0.11703E+03 -0.11415E-02  0.41958E-07 -0.11421E-02  0.41910E-07     29 -0.38295E-04  0.87760E+02  0.66358E-04  0.11703E+03 -0.16272E-03  0.41910E-07  0.52334E+00  0.81284E-02
  0.68942E-03  0.89204E+02  0.68919E-03  0.89266E+02  0.13838E-02  0.11887E+03  0.13829E-02  0.11903E+03 -0.11837E-02  0.41510E-07 -0.11844E-02  0.41461E-07     30 -0.35226E-04  0.89266E+02  0.84649E-04  0.11903E+03 -0.18814E-03  0.41461E-07  0.33390E+00  0.10559E-01
  0.70456E-03  0.90459E+02  0.70431E-03  0.90523E+02  0.14218E-02  0.12054E+03  0.14207E-02  0.12071E+03 -0.12260E-02  0.41825E-07 -0.12268E-02  0.41774E-07     31 -0.30304E-04  0.90523E+02  0.10423E-03  0.12071E+03 -0.21650E-03  0.41774E-07  0.43822E+00  0.13349E-01
